unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1769958060,2026-02-01T15:01:00.0000000Z,BTC-USDT,78199.4,78266.1,78199.4,78230,24.43867781,1911837.76507630
1769958120,2026-02-01T15:02:00.0000000Z,BTC-USDT,78230,78243,78089,78111,20.04710206,1565899.18900866
1769958180,2026-02-01T15:03:00.0000000Z,BTC-USDT,78113.4,78115,78003,78025,12.69773682,990740.91538050
1769958240,2026-02-01T15:04:00.0000000Z,BTC-USDT,78025,78068.9,77900.1,77944.5,16.24150945,1265936.333325525
1769958300,2026-02-01T15:05:00.0000000Z,BTC-USDT,77944.6,77994.4,77944.6,77986.5,8.30972092,648046.050527580
1769958360,2026-02-01T15:06:00.0000000Z,BTC-USDT,77988,78040.3,77952.1,77965.1,31.03600707,2419725.394813257
1769958420,2026-02-01T15:07:00.0000000Z,BTC-USDT,77965.1,77965.1,77885.2,77932.4,2.647779,206347.7721396
1769958480,2026-02-01T15:08:00.0000000Z,BTC-USDT,77932.5,77953.8,77912.6,77950.8,3.83458648,298909.083785184
1769958540,2026-02-01T15:09:00.0000000Z,BTC-USDT,77950.8,77999.9,77918.3,77925.2,7.29866966,568750.292989432
1769958600,2026-02-01T15:10:00.0000000Z,BTC-USDT,77925.1,77956,77895,77907,1.78960079,139422.42874653
1769958660,2026-02-01T15:11:00.0000000Z,BTC-USDT,77906.9,77934,77753.6,77760.1,8.40319546,653433.319289146
1769958720,2026-02-01T15:12:00.0000000Z,BTC-USDT,77763.9,77798,77685.4,77699.8,43.53450766,3382622.538280468
1769958780,2026-02-01T15:13:00.0000000Z,BTC-USDT,77699.8,77711,77525.4,77602,10.70484097,830717.06895394
1769958840,2026-02-01T15:14:00.0000000Z,BTC-USDT,77609.9,77660.8,77568.9,77621,6.01458379,466858.00836359
1769958900,2026-02-01T15:15:00.0000000Z,BTC-USDT,77622.6,77677,77603.1,77660,5.7724141,448285.6790060
1769958960,2026-02-01T15:16:00.0000000Z,BTC-USDT,77660.1,77691.8,77340.7,77340.7,15.1365569,1170671.90623583
1769959020,2026-02-01T15:17:00.0000000Z,BTC-USDT,77340.5,77589.7,77308.6,77370.7,27.47000374,2125373.418366418
1769959080,2026-02-01T15:18:00.0000000Z,BTC-USDT,77371.9,77371.9,77188.8,77188.8,27.63906491,2133426.253525008
1769959140,2026-02-01T15:19:00.0000000Z,BTC-USDT,77188.9,77329.9,77140.3,77315.9,33.1176532,2560521.16304588
1769959200,2026-02-01T15:20:00.0000000Z,BTC-USDT,77316.9,77349.9,77172.1,77211.7,9.46887111,731107.635483987
1769959260,2026-02-01T15:21:00.0000000Z,BTC-USDT,77215,77449.8,77215,77407,9.39228807,727028.84263449
1769959320,2026-02-01T15:22:00.0000000Z,BTC-USDT,77406.9,77454.5,77343.6,77427.1,11.44814036,886396.308467756
1769959380,2026-02-01T15:23:00.0000000Z,BTC-USDT,77431.4,77524,77367.7,77512.1,9.87070675,765099.208676675
1769959440,2026-02-01T15:24:00.0000000Z,BTC-USDT,77508,77512.7,77385.2,77385.2,4.92632824,381224.896118048
1769959500,2026-02-01T15:25:00.0000000Z,BTC-USDT,77385,77452,77083.4,77141.1,40.1846455,3099887.75698005
1769959560,2026-02-01T15:26:00.0000000Z,BTC-USDT,77143,77191,77000,77054.1,27.34137436,2106764.994072876
1769959620,2026-02-01T15:27:00.0000000Z,BTC-USDT,77050,77091.9,76938.7,77002,28.4467474,2190456.4432948
1769959680,2026-02-01T15:28:00.0000000Z,BTC-USDT,77003,77030.9,76936.1,76954.2,21.26102288,1636125.006912096
